"obs_n";"study_id";"study_name";"effect";"se";"t_stat";"est_agg_city";"est_agg_subregion";"est_agg_region";"est_agg_country";"est_agg_continent";"n_obs";"regressands";"reg_df";"study_size";"years_of_schooling";"years_of_experience";"schooling_years";"schooling_levels";"wage_log_hourly";"wage_log_daily";"wage_log_monthly";"wage_mean_annual_earnings";"data_type_micro";"data_type_survey";"data_type_national_register";"data_cross_section";"data_panel";"data_avgyear";"no_ed";"prim_ed";"sec_ed";"higher_ed";"wage_earners";"self_employed";"gender_male";"gender_female";"private_sector";"public_sector";"ethnicity_caucasian";"ethnicity_other";"sector_rural";"sector_urban";"country";"region_advanced_economies";"region_east_asia_and_pacific";"region_europe_and_central_asia";"region_latin_america_and_caribbean";"region_middle_east_and_north_africa";"region_south_asia";"region_sub_saharan_africa";"income_high";"income_middle";"income_low";"med_exp";"min_wage";"freedom_index";"mean_age";"method_ols";"method_cohort_fe";"method_2sls";"method_heckman";"method_probit";"method_IV";"ability_direct";"ability_proxy";"ability_uncontrolled";"ability_unmentioned";"instr_parents_ed";"instr_distance_to_school";"instr_other";"age_control";"age_sq_control";"exp_control";"exp_sq_control";"ethnicity_control";"health_control";"gender_control";"marriage_control";"occupation_control";"firm_char_control";"area_control";"macro_var_control";"impact_factor";"citations";"published";"unpublished";"pub_year";"X"
27;2;"Bartolj et al. (2013)";7.29472791105319;0.299627479985488;24.3459909331631;0;0;0;1;0;85247;6;85240;48;20;18.08;0;1;0;0;0;1;0;0;1;0;1;2008;"0";"0";"0";"1";NA;NA;"0.51218000000000008";"0.48781999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"11381";"1040";0.95;38.43;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
28;2;"Bartolj et al. (2013)";6.1836074743852;0.467526891236609;13.2262070702063;0;0;0;1;0;85247;6;85240;48;22;18.08;0;1;0;0;0;1;0;0;1;0;1;2008;"0";"0";"0";"1";NA;NA;"0.51218000000000008";"0.48781999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"11381";"1040";0.95;38.43;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
29;2;"Bartolj et al. (2013)";10.5209449592116;1.80108206600197;5.84145784237692;0;0;0;1;0;80686;7;80678;48;16;6.28;0;1;0;0;0;1;0;0;1;0;1;2004;"0";"0";"0";"1";NA;NA;"0.46172000000000002";"0.53827999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10169";"996";0.95;27.56;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
30;2;"Bartolj et al. (2013)";8.8775365880074;0.341576585374141;25.989886216245;0;0;0;1;0;80686;7;80678;48;18;6.28;0;1;0;0;0;1;0;0;1;0;1;2004;"0";"0";"0";"1";NA;NA;"0.46172000000000002";"0.53827999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10169";"996";0.95;27.56;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
31;2;"Bartolj et al. (2013)";10.1708255415707;0.735004782438325;13.8377678412237;0;0;0;1;0;80686;7;80678;48;20;6.28;0;1;0;0;0;1;0;0;1;0;1;2004;"0";"0";"0";"1";NA;NA;"0.46172000000000002";"0.53827999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10169";"996";0.95;27.56;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
32;2;"Bartolj et al. (2013)";8.86610810619706;1.61057867361744;5.50492084083253;0;0;0;1;0;80686;7;80678;48;22;6.28;0;1;0;0;0;1;0;0;1;0;1;2004;"0";"0";"0";"1";NA;NA;"0.46172000000000002";"0.53827999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10169";"996";0.95;27.56;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
33;2;"Bartolj et al. (2013)";10.3021993206643;1.26028344976417;8.17450972842028;0;0;0;1;0;80686;7;80678;48;16;6.28;0;1;0;0;0;1;0;0;1;0;1;2006;"0";"0";"0";"1";NA;NA;"0.46172000000000002";"0.53827999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10461";"1029";0.95;27.56;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
34;2;"Bartolj et al. (2013)";8.79200817401373;0.214157496405539;41.0539361058123;0;0;0;1;0;80686;7;80678;48;18;6.28;0;1;0;0;0;1;0;0;1;0;1;2006;"0";"0";"0";"1";NA;NA;"0.46172000000000002";"0.53827999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10461";"1029";0.95;27.56;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
35;2;"Bartolj et al. (2013)";9.17767573611512;0.396457603306607;23.1491984504013;0;0;0;1;0;80686;7;80678;48;20;6.28;0;1;0;0;0;1;0;0;1;0;1;2006;"0";"0";"0";"1";NA;NA;"0.46172000000000002";"0.53827999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10461";"1029";0.95;27.56;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
36;2;"Bartolj et al. (2013)";7.53584542847376;0.534355041708485;14.1026936030762;0;0;0;1;0;80686;7;80678;48;22;6.28;0;1;0;0;0;1;0;0;1;0;1;2006;"0";"0";"0";"1";NA;NA;"0.46172000000000002";"0.53827999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10461";"1029";0.95;27.56;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
37;2;"Bartolj et al. (2013)";5.94015846247882;1.00980246361768;5.88249551421949;0;0;0;1;0;80686;7;80678;48;16;6.28;0;1;0;0;0;1;0;0;1;0;1;2008;"0";"0";"0";"1";NA;NA;"0.46172000000000002";"0.53827999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"11381";"1040";0.95;27.56;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
38;2;"Bartolj et al. (2013)";8.47608095573065;0.158886403530365;53.3467985138879;0;0;0;1;0;80686;7;80678;48;18;6.28;0;1;0;0;0;1;0;0;1;0;1;2008;"0";"0";"0";"1";NA;NA;"0.46172000000000002";"0.53827999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"11381";"1040";0.95;27.56;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
39;2;"Bartolj et al. (2013)";8.99114650304196;0.264189971193549;34.032883467991;0;0;0;1;0;80686;7;80678;48;20;6.28;0;1;0;0;0;1;0;0;1;0;1;2008;"0";"0";"0";"1";NA;NA;"0.46172000000000002";"0.53827999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"11381";"1040";0.95;27.56;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
40;2;"Bartolj et al. (2013)";7.34813722167167;0.277238835343872;26.5047182605475;0;0;0;1;0;80686;7;80678;48;22;6.28;0;1;0;0;0;1;0;0;1;0;1;2008;"0";"0";"0";"1";NA;NA;"0.46172000000000002";"0.53827999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"11381";"1040";0.95;27.56;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
41;2;"Bartolj et al. (2013)";4.52544727981476;1.86107772448006;2.43162723420326;0;0;0;1;0;94065;7;94057;48;16;6.28;0;1;0;0;0;1;0;0;1;0;1;2004;"0";"0";"0";"1";NA;NA;"0.46172000000000002";"0.53827999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10169";"996";0.95;27.56;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
42;2;"Bartolj et al. (2013)";7.40053525102233;0.330694440241077;22.3787713081216;0;0;0;1;0;94065;7;94057;48;18;6.28;0;1;0;0;0;1;0;0;1;0;1;2004;"0";"0";"0";"1";NA;NA;"0.46172000000000002";"0.53827999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10169";"996";0.95;27.56;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
43;2;"Bartolj et al. (2013)";9.70969197501532;0.778315341470126;12.4752673597248;0;0;0;1;0;94065;7;94057;48;20;6.28;0;1;0;0;0;1;0;0;1;0;1;2004;"0";"0";"0";"1";NA;NA;"0.46172000000000002";"0.53827999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10169";"996";0.95;27.56;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
44;2;"Bartolj et al. (2013)";7.29130909153237;4.31544425574576;1.68958481663259;0;0;0;1;0;94065;7;94057;48;22;6.28;0;1;0;0;0;1;0;0;1;0;1;2004;"0";"0";"0";"1";NA;NA;"0.46172000000000002";"0.53827999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10169";"996";0.95;27.56;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
45;2;"Bartolj et al. (2013)";5.73184862467544;1.34177472873954;4.27184124272481;0;0;0;1;0;94065;7;94057;48;16;6.28;0;1;0;0;0;1;0;0;1;0;1;2006;"0";"0";"0";"1";NA;NA;"0.46172000000000002";"0.53827999999999998";"0.52400000000000002";"0.47599999999999998";1;0;NA;NA;"Slovenia";1;0;0;0;0;0;0;1;0;0;"10461";"1029";0.95;27.56;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0.03;16;1;0;34;"X"
